ID,Cuerpo de Bomberos,URL,Logo Path,RUT,Numero de Socio,Fecha de Fundacion,Direccion,Telefono,Superintendente,Comandante,Numero de Companias,status
25,Curanilahue,https://app.bomberos.cl/info_crpo_web/?id=25,logos/25_Curanilahue.jpg,70.013.660-4,120,23-05-1945,"Caupolican 704, centro",412691057,Nestor Benjamin Antillanca Aviles,Santiago Hernan Espinoza Vidal,3,desde_app_bomberos
26,Chiguayante,https://app.bomberos.cl/info_crpo_web/?id=26,logos/26_Chiguayante.png,82.272.500-7,124,14-11-1945,"Pedro angulo novoa 714, chiguayante sur",(41) 2364985,Rodrigo Eduardo Villanueva Vega,Felipe Alexander Sánchez Sánchez,3,desde_app_bomberos
27,Chillán,https://app.bomberos.cl/info_crpo_web/?id=27,logos/27_Chillán.png,81.681.800-1,15,25-06-1880,El Roble 490,(42) 222233 - 222133,Ernesto Segundo Quijón Aravena,Luis Alfredo Seguel Valenzuela,8,desde_app_bomberos
28,El Carmen,https://app.bomberos.cl/info_crpo_web/?id=28,logos/28_El Carmen.jpg,71.056.200-8,251,14-11-1976,Manuel Rodríguez 550,(42) 661087,Victor Luciano Lagos Castillo,Rodrigo Andres Carrasco Valdebenito,1,desde_app_bomberos
29,Florida,https://app.bomberos.cl/info_crpo_web/?id=29,logos/29_Florida.jpg,70.550.800-3,102,31-12-1939,"Ortiz De Rozas 602, centro",(41) 2645132,Vladimir Guajardo Saavedra,Néstor Villa Herrera,5,desde_app_bomberos
30,Coelemu,https://app.bomberos.cl/info_crpo_web/?id=30,logos/30_Coelemu.png,81.811.400-1,111,07-05-1942,Manuel Antonio Matta 450,(42) 511083,Jeime Marina Cabrera Torres,Claudio Alberto Muñoz Reyes,3,desde_app_bomberos
31,Illapel,https://app.bomberos.cl/info_crpo_web/?id=31,logos/31_Illapel.png,70.003.140-3,91,09-01-1936,Buin 540,(53) 522396,Fabian Antonio Fernandez Tapia,Eber Fernando Oyanedel Tapia,4,desde_app_bomberos
32,La Serena,https://app.bomberos.cl/info_crpo_web/?id=32,logos/32_La Serena.png,82.403.100-2,9,25-10-1874,Francisco De Aguirre Y Balmaceda 501,(51) 225592 - 212793,Patricio Alejandro Diaz Diaz,Felipe Ignacio Jeraldo Aguilera,7,desde_app_bomberos
33,Los Vilos,https://app.bomberos.cl/info_crpo_web/?id=33,logos/33_Los Vilos.png,82.378.100-8,160,05-05-1955,"Lautaro 489, centro",(53) 541068,Jaime Alejo Cortinez Poblacion,Danton Repiso Ramirez-Olavarria,5,desde_app_bomberos
34,Ovalle,https://app.bomberos.cl/info_crpo_web/?id=34,logos/34_Ovalle.jpg,81.809.600-3,28,20-03-1893,"Miguel Aguirre 364, Piso 2",(53) 2620191-(53) 2620208,Isidoro Segundo Ossandon Vega,Jorge Ignacio Robles Tapia,8,desde_app_bomberos
35,Punitaqui,https://app.bomberos.cl/info_crpo_web/?id=35,logos/35_Punitaqui.jpg,82.021.200-2,206,18-06-1964,Caupolicán 828,(53)2 731017,Jonathan Humberto Rios Morales,Cristian Eduardo Valdivia Castillo,4,desde_app_bomberos
36,Salamanca,https://app.bomberos.cl/info_crpo_web/?id=36,logos/36_Salamanca.x-png,71.172.800-7,145,04-05-1952,Ruiz Valledor 231,(53) 551040,Camilo Ignacio Prado Estay,Johany Alexander Trigo Vargas,3,desde_app_bomberos
37,Vicuña,https://app.bomberos.cl/info_crpo_web/?id=37,logos/37_Vicuña.jpg,81.552.200-1,128,06-10-1946,San Martín 150,51 411242,Luis Camilo Machuca Zambra,Mauro Andres Vega Julio,4,desde_app_bomberos
38,Algarrobo,https://app.bomberos.cl/info_crpo_web/?id=38,logos/38_Algarrobo.png,70.002.800-3,157,01-04-1954,Peñablanca 305,(35) 2481190,Manuel Cea Sanchez,Carlos Enrique Flores Fuentes,3,desde_app_bomberos
39,Cabildo,https://app.bomberos.cl/info_crpo_web/?id=39,logos/39_Cabildo.png,82.487.800-5,151,16-01-1953,Humeres 830,(33) 761070,Jose Manuel Silva Silva,Ricardo Andrés Mena Gil,2,desde_app_bomberos
40,Cartagena,https://app.bomberos.cl/info_crpo_web/?id=40,logos/40_Cartagena.png,82.392.900-5,76,09-03-1929,Cartagena 137,(035) 2450046,Paulino Andres Aravena Pavez,Miguel Alejandro Rojás Valdés,3,desde_app_bomberos
41,Casablanca,https://app.bomberos.cl/info_crpo_web/?id=41,logos/41_Casablanca.jpeg,71.832.700-8,137,22-04-1949,"Alejandro Galaz 320, Sector el Molino",(32) 2742366,Gastón Marcelo Mercado Oyarzún,Juan José Valladares Gomez,5,desde_app_bomberos
42,Catemu,https://app.bomberos.cl/info_crpo_web/?id=42,logos/42_Catemu.jpeg,70.005.300-8,185,28-05-1961,García Huidobro S/n,(34) 631219,Ramon Alejandro Olmos Caro,Andrés Patricio Olguín Reinoso,2,desde_app_bomberos
43,El Quisco,https://app.bomberos.cl/info_crpo_web/?id=43,logos/43_El Quisco.jpg,70.663.100-3,170,26-08-1957,Ignacio Carrera Pinto 032,35-2471166,Orlando Enrique Toro Rodriguez,Cristobal Alonso Palma Cornejo,2,desde_app_bomberos
44,El Tabo,https://app.bomberos.cl/info_crpo_web/?id=44,logos/44_El Tabo.jpg,81.746.800-4,196,04-04-1953,San Martín 951,352461399 - 352469529,Frank Viveros Morales,Carlos Valentin Ramirez Ramirez,2,desde_app_bomberos
45,Hijuelas,https://app.bomberos.cl/info_crpo_web/?id=45,logos/45_Hijuelas.png,70.327.600-8,210,28-03-1965,"Manuel Rodríguez 1735, Centro",33 2272737,Gabriel Alejandro Villagra Conejeras,Franco Mauricio Tapia Galvez,2,desde_app_bomberos
46,Isla de Pascua,https://app.bomberos.cl/info_crpo_web/?id=46,logos/46_Isla de Pascua.png,71.245.000-2,241,16-08-1972,Tepito O Tehenua S/n,(32) 551564,Jorge Alfredo Pate Espinoza,Marco Añigual Monsalve,2,desde_app_bomberos
47,La Calera,https://app.bomberos.cl/info_crpo_web/?id=47,logos/47_La Calera.png,81.939.100-9,65,11-12-1920,"Aldunate 341, Centro La calera",+56958108319,Cristian Rodrigo Omar Fernández,Jorge Patricio Rocco Ardiles,4,desde_app_bomberos
48,La Cruz,https://app.bomberos.cl/info_crpo_web/?id=48,logos/48_La Cruz.jpeg,70.564.300-8,161,29-09-1955,21 De Mayo 5200,(33) 320166,Angelo Andrés Escobar Espinoza,Mauricio Fernando Arancibia Herrera,1,desde_app_bomberos
49,La Ligua,https://app.bomberos.cl/info_crpo_web/?id=49,logos/49_La Ligua.png,70.006.100-0,87,27-08-1934,Diego Portales 298,(33) 714773,Juan Pablo Ramirez Taiba,José Luis Jarpa Blanco,6,desde_app_bomberos
50,Limache,https://app.bomberos.cl/info_crpo_web/?id=50,logos/50_Limache.jpeg,81.683.200-4,110,20-04-1942,República 368,(33) 2413702,Carla Andrea Bianchi Donoso,Marcos Marcelo Escobar Arcaya,5,desde_app_bomberos
51,Los Andes,https://app.bomberos.cl/info_crpo_web/?id=51,logos/51_Los Andes.png,70.002.400-8,23,18-09-1886,Esmeralda 130,(34) 421212,Eladio Francisco Cortez Diaz,Miguel Ángel Lamelés Mora,6,desde_app_bomberos
52,Llay Llay,https://app.bomberos.cl/info_crpo_web/?id=52,logos/52_Llay Llay.jpeg,81.935.900-8,59,14-12-1911,Arturo Perez Canto 452,34 612201,Patricio Danilo Rodriguez Meneses,Victor Hugo Molina Mazuela,2,desde_app_bomberos
53,Nogales,https://app.bomberos.cl/info_crpo_web/?id=53,logos/53_Nogales.jpg,70.605.700-5,245,30-03-1974,JAVIERA CARRERA 175,332262823,Manuel Alejandro Aracena Bernal,Tiharen Araceli Ulloa Cabezas,3,desde_app_bomberos
54,Olmué,https://app.bomberos.cl/info_crpo_web/?id=54,logos/54_Olmué.png,70.009.300-k,223,24-01-1968,Diego Portales 2005,(332) 441488,Victor Alejando Pizarro Arredondo,Rodrigo Fernando Arellano Yañez,1,desde_app_bomberos
55,Papudo,https://app.bomberos.cl/info_crpo_web/?id=55,logos/55_Papudo.png,82.393.000-3,211,21-05-1965,Fernández Concha 721,(33) 2791127,Rodrigo Deblasis Pizarro,Camilo Reinoso Gamboa,2,desde_app_bomberos
56,Petorca,https://app.bomberos.cl/info_crpo_web/?id=56,logos/56_Petorca.png,71.150.300-5,250,30-05-1976,Manuel Montt 795,(33) 781427,Yerco Emerzon Caniguante Diaz,Freddy Calderon Astudillo,3,desde_app_bomberos
57,Puchuncaví,https://app.bomberos.cl/info_crpo_web/?id=57,logos/57_Puchuncaví.jpg,81.976.900-1,192,30-03-1962,Latorre 270,(32) 2791028,Guillermo Alfredo Kramm Kramm,Daniel Tenorio De Vasconcelos Barbosa,3,desde_app_bomberos
58,Putaendo,https://app.bomberos.cl/info_crpo_web/?id=58,logos/58_Putaendo.png,70.719.300-k,166,23-03-1956,"Camus 130, centro",34-2501026,Elian Nelson Montenegro Saa,Cesar Antonio Olivares Vega,3,desde_app_bomberos
59,Quilpué,https://app.bomberos.cl/info_crpo_web/?id=59,logos/59_Quilpué.jpg,82.104.901-6,69,08-03-1925,Bulnes 1029,(32) 910310,Gerardo Manuel Silva Leal,Pablo Alexander Saavedra Arancibia,6,desde_app_bomberos
60,Quillota,https://app.bomberos.cl/info_crpo_web/?id=60,logos/60_Quillota.jpg,81.591.800-2,38,20-12-1902,Yungay 315,(33) 312987 - 311691,Mauricio Lucero Martinez,Marco Antonio Velásquez Godoy,5,desde_app_bomberos
61,Quintero,https://app.bomberos.cl/info_crpo_web/?id=61,logos/61_Quintero.jpeg,70.386.500-3,154,15-01-1955,Normandie 1980,(56) (32) 2933145-2930776,Eduard Anthony Jofré Rivera,Eleazar Neftalí Carroza Bernal,2,desde_app_bomberos
63,Santo Domingo,https://app.bomberos.cl/info_crpo_web/?id=63,logos/63_Santo Domingo.png,82.140.000-7,169,21-05-1957,El Golf 130,(35) 441804,Juan Cristobal Herrera Aguilar,Cesar Andres Carreño Vilches,4,desde_app_bomberos
64,San Antonio,https://app.bomberos.cl/info_crpo_web/?id=64,logos/64_San Antonio.png,82.547.500-1,62,05-11-1913,"Domingo Fernandez CONCHA 808, SECTOR HOSPITAL",(35)2211144,Hector Araneda Vidal,Alvaro Andres Ponce Ponce,7,desde_app_bomberos
65,San Esteban,https://app.bomberos.cl/info_crpo_web/?id=65,logos/65_San Esteban.pjpeg,70.010.900-3,230,14-02-1969,Santa Teresa 31,(34) 482600-480102,Jorge Rodrigo Tapia Tobar,Luis Alfonso Humberto Jimenez Jimenez,2,desde_app_bomberos
66,San Felipe,https://app.bomberos.cl/info_crpo_web/?id=66,logos/66_San Felipe.jpeg,70.001.500-9,18,11-03-1883,Merced 832,342518817,David Nehemias Guajardo Sandoval,Walter Roman Staforelli Delgado,7,desde_app_bomberos
67,Santa María,https://app.bomberos.cl/info_crpo_web/?id=67,logos/67_Santa María.jpg,81.592.000-7,96,22-08-1937,"Almirante Latorre 730, centro",34-582024,--,Eduardo Tito Gonzalez Lazcano,3,desde_app_bomberos
68,Valparaíso,https://app.bomberos.cl/info_crpo_web/?id=68,logos/68_Valparaíso.png,81.807.100-0,1,30-06-1851,Plaza Sotomayor 147,(32) 2255856,Jose Manuel Esposito Cancino,Vicente Maggiolo Oyarzún,16,desde_app_bomberos
69,Villa Alemana,https://app.bomberos.cl/info_crpo_web/?id=69,logos/69_Villa Alemana.png,70.030.900-2,133,29-01-1948,Ignacio Carrera Pinto 034,(32) 2951446 - 2958871,Eugenio Sebastián Pizarro Miranda,Luis Hernán Bernal Sandoval,4,desde_app_bomberos
70,Viña Del Mar,https://app.bomberos.cl/info_crpo_web/?id=70,logos/70_Viña Del Mar.jpg,81.815.900-5,21,14-12-1884,Valparaiso 791,(32)-2684328,Marcos Christian Quintana Bonvallet,Hector Enrique Caceres Villanueva,10,desde_app_bomberos
71,Zapallar,https://app.bomberos.cl/info_crpo_web/?id=71,logos/71_Zapallar.jpg,70.727.300-3,191,31-01-1962,Benito Del Villar 100,332741262 - 332742327,Cristian Mauricio Valenzuela Rojas,Claudio Hernaldo Figueroa Contreras,2,desde_app_bomberos
72,Codegua,https://app.bomberos.cl/info_crpo_web/?id=72,logos/72_Codegua.jpg,73.656.100-k,280,31-05-1995,O´Higgins Barrio Cívico 356,072 - 472018,Juan Daniel Fernandez Herrera,Heriberto Ferru Chacon,2,desde_app_bomberos
73,Coinco,https://app.bomberos.cl/info_crpo_web/?id=73,logos/73_Coinco.png,70.008.400-4,227,15-08-1968,Bernardo O' Higgins 77,(72) 441122,Sergio Sebastian Gonzalez Padilla,Humberto Antonio Helvia Zapata,1,desde_app_bomberos
74,Coltauco,https://app.bomberos.cl/info_crpo_web/?id=74,logos/74_Coltauco.png,70.602.900-1,216,25-06-1967,Bernardo O' Higgins 282,(72) 451799,Juan Alfredo Poblete Moyano,Pablo Armijo Armijo,2,desde_app_bomberos
75,Chépica,https://app.bomberos.cl/info_crpo_web/?id=75,logos/75_Chépica.jpg,70.008.000-5,229,20-10-1968,18 De Septiembre S/n,72 817273,Ivan Alejandro Valenzuela Palacios,Sergio Hernán Navarro Aguilera,2,desde_app_bomberos
76,Chimbarongo,https://app.bomberos.cl/info_crpo_web/?id=76,logos/76_Chimbarongo.png,70.014.800-9,144,13-11-1951,Carmen Larraín 13,(72) 781146,Jhony Enrique Legua Herrera,Matias Eduardo Sanchez Sandoval,5,desde_app_bomberos
77,Doñihue,https://app.bomberos.cl/info_crpo_web/?id=77,logos/77_Doñihue.png,82.218.100-7,149,25-10-1952,Estación 180,(72) 2462218,Patricio Antonio Soto Aros,Osvaldo Francisco Venegas Rubio,2,desde_app_bomberos
78,Graneros,https://app.bomberos.cl/info_crpo_web/?id=78,logos/78_Graneros.png,70.005.000-9,113,05-02-1943,La Compañia 0157,722472610,Gonzalo Ignacio Arros Valencia,Felix Roberto Galaz Rubio,3,desde_app_bomberos
79,La Estrella,https://app.bomberos.cl/info_crpo_web/?id=79,logos/79_La Estrella.png,71.149.400-6,239,12-02-1972,Manuel Rodríguez 878,965125271,Fernanda Orellana Herrera,Maximiliano Andrés Fernández Caro,1,desde_app_bomberos
80,San Fernando,https://app.bomberos.cl/info_crpo_web/?id=80,logos/80_San Fernando.png,70.006.900-1,35,15-11-1899,Argomedo 615,(72) 711247 NGN 147,Juan Daniel Cornejo Zavalla,Mauricio Andres Gallardo Duarte,6,desde_app_bomberos
81,San Francisco De Mostazal,https://app.bomberos.cl/info_crpo_web/?id=81,logos/81_San Francisco De Mostazal.png,81.820.400-0,132,21-01-1948,Independencia 119,(72) 491070,Hilda Abigail Gutierrez Pandorfa,Sergio Andres Oses Cifuentes,2,desde_app_bomberos
82,San Vicente De T. T.,https://app.bomberos.cl/info_crpo_web/?id=82,logos/82_San Vicente De T T.jpg,81.646.900-7,84,19-04-1931,Tagua Tagua 370,(72) 572196,Raúl Hernán Moscoso López,Claudio Antonio Araya Espinoza,5,desde_app_bomberos
83,Santa Cruz,https://app.bomberos.cl/info_crpo_web/?id=83,logos/83_Santa Cruz.jpg,81.811.500-8,130,04-05-1947,Díaz Besoaín 141,(72) 822310,Manuel Edmundo Arenas Albornoz,Pablo Andrés Jiménez Jiménez,6,desde_app_bomberos
84,Cauquenes,https://app.bomberos.cl/info_crpo_web/?id=84,logos/84_Cauquenes.jpg,70.008.500-7,66,25-08-1922,Victoria 885,732511211,Victor Irenio Fuentes Moraga,Juan Aldo Borella Morales,8,desde_app_bomberos
85,Colbún,https://app.bomberos.cl/info_crpo_web/?id=85,logos/85_Colbún.pjpeg,72.229.400-9,276,20-12-1991,"Manuel Jesús Silva, Villa Central 412",(73) 351122,Silvia Isabel Zuñiga Barrios,Cristian Antonio Pinto Burgos,2,desde_app_bomberos
86,Constitución,https://app.bomberos.cl/info_crpo_web/?id=86,logos/86_Constitución.jpg,81.811.700-0,81,12-10-1930,Vial 350,71-2675969 oficina central,Gerardo Enrique Saez Espinoza,Cristian Rodrigo González Muñoz,6,desde_app_bomberos
87,Cumpeo,https://app.bomberos.cl/info_crpo_web/?id=87,logos/87_Cumpeo.png,74.389.100-7,275,18-03-1987,"MAXIMILIANO GATICA S/n, CUMPEO",71-2291034,Alejandra Vergara Oyarce,Cesar Andres Muñoz Muñoz,3,desde_app_bomberos
88,Curepto,https://app.bomberos.cl/info_crpo_web/?id=88,logos/88_Curepto.pjpeg,71.093.000-7,265,13-10-1982,Rvdo. José Cappel 1,"(75) 2690143, 2690130",Mariela De Las Mercedes Rojas Andrades,Lidio Antonio Castillo Cerpa,3,desde_app_bomberos
89,Curicó,https://app.bomberos.cl/info_crpo_web/?id=89,logos/89_Curicó.jpg,70.003.100-4,24,24-06-1888,Arturo Prat Y Membrillar S/n,(75) 2318850,Jorge Eugenio González Ruz,Luciano Lorenzo Moraga Matus,8,desde_app_bomberos
90,Chanco,https://app.bomberos.cl/info_crpo_web/?id=90,logos/90_Chanco.png,81.749.300-9,200,07-12-1960,abdon fuentealba 334,073-551262 - 634337,Pablo Andres Velozo Alvarez,José Miguel Alejandro Espinosa Fuentealba,5,desde_app_bomberos
91,Empedrado,https://app.bomberos.cl/info_crpo_web/?id=91,logos/91_Empedrado.png,71.011.000-k,232,16-04-1969,Bernardo O'Higgins 274,(71) 1971137,Ricardo López Valdés,Carlos Alberto Muñoz Toro,1,desde_app_bomberos
92,Hualañé,https://app.bomberos.cl/info_crpo_web/?id=92,logos/92_Hualañé.jpg,83.015.400-0,214,27-11-1966,11 de Septiembre S/N,(75) 481014,Alexandro Esteban Garrido Alvarez,Hernán Felipe Silva Díaz,4,desde_app_bomberos
93,Licantén,https://app.bomberos.cl/info_crpo_web/?id=93,logos/93_Licantén.png,82.487.900-1,182,16-10-1960,"Alejandro Rojas 162, Barrio",(75) 460048 - 545161,Juan Miguel Contardo Sepúlveda,Francisco Manuel Calquín Gamboa,2,desde_app_bomberos
94,Linares,https://app.bomberos.cl/info_crpo_web/?id=94,logos/94_Linares.png,70.007.900-7,33,04-10-1896,Valentín Letelier 199,(73) 213222 - 210172,Mario Raul Fariña Rosales,Carlos Alberto Vasquez Contreras,5,desde_app_bomberos
95,Longaví,https://app.bomberos.cl/info_crpo_web/?id=95,logos/95_Longaví.jpg,81.793.300-9,199,06-10-1962,Uno Sur 184,(73) 411339,Victor Manuel Burgos Almuna,Exequiel Matías Rivera Flores,4,desde_app_bomberos
96,Llico,https://app.bomberos.cl/info_crpo_web/?id=96,logos/96_Llico.jpg,71.106.100-2,218,22-08-1967,"San Antonio 295, llico",(75) 400015,Evelyn Tamara Bravo Correa,José Fabian Bravo González,2,desde_app_bomberos
97,Molina,https://app.bomberos.cl/info_crpo_web/?id=97,logos/97_Molina.jpg,81.705.200-2,114,25-02-1943,Independencia 1757,752491116,Juan Alejandro Cifuentes Tapia,Marcelo Esteban Muñoz Garcia,5,desde_app_bomberos
98,Las Cabras,https://app.bomberos.cl/info_crpo_web/?id=98,logos/98_Las Cabras.jpeg,71.384.600-7,174,22-06-1958,San Martín 835,(72)2 501128,Juan Luis Fabia López,Manuel Antonio Fabia López,5,desde_app_bomberos
99,Litueche,https://app.bomberos.cl/info_crpo_web/?id=99,logos/99_Litueche.jpg,71.785.300-8,234,14-06-1969,Hermanos Carrera 1148,(72) 851074,Cesar Antonio Soto Donoso,Raul Antonio Morales Navarro,2,desde_app_bomberos
100,Machalí,https://app.bomberos.cl/info_crpo_web/?id=100,logos/100_Machalí.png,83.010.200-0,121,01-06-1945,Miranda 449,722411213 - 722412215,Jose Eduardo Montecinos Palacios,Cristian Soto Fuentes,3,desde_app_bomberos
101,Malloa,https://app.bomberos.cl/info_crpo_web/?id=101,logos/101_Malloa.png,71.080.500-8,257,08-07-1979,La Gloria 65,(72) 387003,Carlos Alejandro Yañez Mella,Luis Nilson Cantillana Garcia,4,desde_app_bomberos
102,Marchigue,https://app.bomberos.cl/info_crpo_web/?id=102,logos/102_Marchigue.jpg,71.170.000-5,240,10-03-1972,Carlos Ortiz 430,(72) 2831175,Cristian Andres Fuentes Aravena,Maykold Antonio Cabello Diaz,4,desde_app_bomberos
103,Nancagua,https://app.bomberos.cl/info_crpo_web/?id=103,logos/103_Nancagua.png,70.036.800-9,148,15-10-1952,Armando Jaramillo 118,(72) 858390 - 858166,José Froilan Farias Donoso,Guillermo Jose Verdugo Tolorza,2,desde_app_bomberos
104,Navidad,https://app.bomberos.cl/info_crpo_web/?id=104,logos/104_Navidad.jpg,71.516.700-k,269,11-04-1987,Juan Montes S/n,945218739,Wladimir Marcelo Paredes Roque,Ramón Ignacio Osorio Farias,3,desde_app_bomberos
105,Olivar,https://app.bomberos.cl/info_crpo_web/?id=105,logos/105_Olivar.jpeg,70.687.100-4,233,25-04-1969,CAMINO A TERMAS 680,996421894,Rodrigo Marcelo Muñoz Suárez,Patricio Andres Soto Reyes,3,desde_app_bomberos
106,Peumo,https://app.bomberos.cl/info_crpo_web/?id=106,logos/106_Peumo.jpg,81.622.100-5,82,08-10-1930,Walter Martínez 364,(72) 2561466,Luis Alejandro Granifo Quinteros,Claudio Antonio Araya Espinoza,3,desde_app_bomberos
107,Peralillo,https://app.bomberos.cl/info_crpo_web/?id=107,logos/107_Peralillo.jpg,71.265.000-1,247,07-12-1974,ERRAZURIZ 311,722861351,Eladio Vladimir Astudillo Cáceres,Claudio Antonio Cruz Martínez,3,desde_app_bomberos
